İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,Kararsız,DEM,Fark
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-24 Mart,ALF,3.2,385.0,407.0,91.0,65.0,52.0,,22.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-22 Mart,Pollstar,3.0,376.0,443.0,71.0,57.0,53.0,,67.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,13-18 Mart,ASAL,1.5,414.0,396.0,69.0,41.0,36.0,,18.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,415.0,442.0,58.0,,85.0,,27.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-4 Mar,MAK,1.91,34.0,41.0,7.0,7.0,25.0,,7.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-2 Mart,Özdemir,8.444,405.0,423.0,41.0,51.0,24.0,,18.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Şubat,Optimar,2.5,466.0,451.0,29.0,15.0,7.0,,15.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Eylül,ASAL,1.764,373.0,34.0,106.0,21.0,163.0,,33.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,,2023.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,506.0,463.0,,,31.0,,43.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,Pi-Ar,1.4,,,,,3.5,,61.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.5,,,,,46.0,,79.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,163.291,,,,,62.0,,214.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,850.0,392.0,42.0,69.0,35.0,84.0,,28.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,38.36,487.0,485.0,,,28.0,,2.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26 Mart,Kırmızı Kare,11.516,,,,,,,13.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,38.051,,,,,12.0,,8.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.65,,,,,58.0,,37.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,297.906,,,,,5.0,,58.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.74,496.0,232.0,,,59.0,,264.0,
Antalya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,95.858,668.0,308.0,,,24.0,,36.0,
Burdur,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.2,415.0,396.0,134.0,,55.0,,19.0,
Burdur,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,49.901,532.0,441.0,,,27.0,,91.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Mart,AREA,2.01,,,,,13.0,,1.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,15.0,,24.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.445,,,,,65.0,,32.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,,,,,1.0,,138.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-21 Mart,Optimar,15.0,,,,,52.0,,99.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17 Mart 2024,17 Mart 2024,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-12 Mart,ASAL,1.25,,,,,25.0,,69.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-5 Mart,ADA,1.5,,,,,16.0,,163.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.07,,,,,60.0,1.0,5.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-5 Mart,Ser-Ar,2.1,,,,,69.0,,164.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-17 Şubat,AREA,7.0,,,,,93.0,24.0,43.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-13 Şubat,ORC,1.97,,,,,18.0,116.0,168.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,888.857,,,,,21.0,,123.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,24.0,,359.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,30.919,,,,,9.0,,271.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,4.0,,346.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,200.28,,,,,23.0,,127.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,603.0,23.0,,,27.0,,373.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,52.448,719.0,255.0,,,26.0,,464.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,45.0,,487.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,20.313,,,,,18.0,,238.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,338.0,,,,24.0,,47.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,87.862,686.0,,,,18.0,,443.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,189.0,,93.0,,258.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,32.034,,,431.0,,1.0,,119.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,,,220.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-8 Mart,Betimar,1.573,,,,,77.0,,189.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,142.557,,,,,18.0,,37.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,,,235.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,63.0,,,,,35.0,,202.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,,,130.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,7.821,,,,,6.0,,236.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,,,244.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,24.587,,,,,4.0,,29.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,,,232.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,45.138,,,,,35.0,,217.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,413.0,,,,,,104.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,65.502,632.0,,,,27.0,,145.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,,,,,,2.0,,371.0,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,19.363,,,,,29.0,,141.0,
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.21,,,,,36.0,,51.0,
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-16 Mart,ALF,1.38,,,,,33.0,68.0,11.0,
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-4 Mart,ORC,1.07,,,,,29.0,65.0,16.0,
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,19-24 Şubat,Themis,1.047,,,,,42.0,,39.0,
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,132.489,,,,,23.0,,72.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,,,,,17.0,,247.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,253.0,,389.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.307,,,,,23.0,,353.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,,,,12.0,,308.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-14 Mart,ASAL,1.25,,,,,46.0,,238.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-3 Mart,MAK,4.3,,,,,85.0,,36.0,
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,624.585,,,,,18.0,,404.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Mart,AREA,2.005,60.0,,1.0,,27.0,,249.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,467.0,,48.0,,58.0,,4.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,521.0,,,,98.0,,14.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.101,481.0,,56.0,,6.0,,89.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-23 Mart,SAROS,1.492,489.0,,57.0,,73.0,,108.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-10 Mart,AREA,3.054,596.0,,26.0,1.0,2.0,,243.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,3-7 Mart,ASAL,1.5,429.0,,55.0,,8.0,,32.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-5 Mart,MAK,1.38,41.0,,6.0,3.0,50.0,5.0,5.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,45.0,,,,134.0,,41.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.21,,,62.0,,45.0,,145.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,76.832,,,157.0,,31.0,,66.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.65,,,70.0,,80.0,,58.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,164.375,,,166.0,,41.0,,39.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.52,538.0,272.0,75.0,,115.0,,266.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,144.51,635.0,275.0,55.0,,35.0,,360.0,
Elazığ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,,,22.0,,82.0,,332.0,
Elazığ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-10 Mart,ORC,1.16,,,55.0,,3.0,74.0,115.0,
Elazığ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,180.563,,,17.0,,82.0,,58.0,
Erzurum,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,431.0,,456.0,
Erzurum,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.038,,,,68.0,143.0,,226.0,
Erzurum,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,,,89.0,53.0,,488.0,
Erzurum,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-5 Mar,MAK,1.02,,,,6.0,5.0,5.0,33.0,
Erzurum,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,3.773,,,,88.0,26.0,,624.0,
Erzurum,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,384.917,,,,,34.0,,374.0,
Kars,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.09,,,,,51.0,,32.0,
Kars,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-19 Mart,ALF,1.3,,,,,46.0,,25.0,
Kars,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-9 Mart,ORC,1.065,,,,,37.0,95.0,23.0,
Kars,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,41.224,,,,,13.0,,3.0,
Malatya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,30.0,,202.0,
Malatya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.527,,,,,91.0,,177.0,
Malatya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,,,,46.0,,52.0,
Malatya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-15 Mart,DENGE,4.306,,,,,4.0,,425.0,
Malatya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-6 Mar,MAK,1.53,,,,,5.0,6.0,18.0,
Malatya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,463.826,,,,,84.0,,452.0,
Van,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,,343.0,,,149.0,,165.0,
Van,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,265.0,,,206.0,,264.0,
Van,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.444,,295.0,,,78.0,,293.0,
Van,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-7 Mar,MAK,1.42,,31.0,,,10.0,,17.0,
Van,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,483.905,,405.0,,,,,133.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,461.0,352.0,,,187.0,,109.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.823,409.0,413.0,86.0,48.0,8.0,,4.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-23 Mart,Optimar,2.0,432.0,440.0,42.0,35.0,26.0,,8.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-19 Mart,ORC,2.9,411.0,419.0,64.0,39.0,22.0,,8.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,4.432,509.0,326.0,53.0,66.0,18.0,,183.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-18 Mart,ALF,2.72,374.0,389.0,78.0,46.0,21.0,6.0,15.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,13-16 Mart,Piar,2.06,405.0,431.0,75.0,5.0,39.0,,26.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.74,42.0,36.0,7.0,3.0,3.0,5.0,6.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-28 Şubat,ADA,1.5,465.0,397.0,59.0,41.0,38.0,,68.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-25 Şubat,ASAL,1.5,428.0,364.0,85.0,62.0,29.0,,64.0,
Aydın,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,683.704,539.0,437.0,,,23.0,,102.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,,,,,4.0,,21.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,,,2.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-25 Mart,ORC,2.26,,,,,89.0,,25.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.736,,,,,72.0,,23.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,6-11 Mart,ALF,2.5,,,,,49.0,72.0,28.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-9 Mart,ORC,2.1,,,,,31.0,98.0,4.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-5 Mart,ADA,1.5,,,,,61.0,,140.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-6 Mar,MAK,1.58,,,,,10.0,5.0,16.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26 Şub-1 Mar,ASAL,1.35,,,,,88.0,,55.0,
Denizli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,636.308,,,,,55.0,,67.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29-30 Mart,BETİMAR,3.722,409.0,406.0,66.0,53.0,36.0,,3.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-28 Mart,Özdemir,2.409,434.0,419.0,44.0,36.0,35.0,,15.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-28 Mart,ORC,3.22,449.0,362.0,106.0,38.0,45.0,,87.0,
